transaction_id,product1,product2,product3,product4,product5,product6,product7,product8,product9,product10,product11,product12,product13,product14,product15,product16,product17,product18,product19,product20,product21,product22,product23,product24,product25,product26,product27,product28,product29,product30,product31,product32,product33,product34,product35,product36,product37,product38,product39,product40,product41,product42,product43,product44,product45
22,Small Sizes White,Sherry Spanish,Iberia,Champagne,Brnd Alchol Carbntes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,World Beer,South America White,South Africa Red,Premium Canned Ale,Over-Ice Cider,Iberia,Gin,Champagne,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Vodka,Speciality Beer,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,White Rum,Whisky,Vodka,Stout,Sparkling,Over-Ice Cider,Malt Whisky,Iberia White,Gin,Cocktails/Liqueurs,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,French White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sparkling,South America,South Africa Red,Red Wine Bxes & 25Cl,Premium Lager,New Zealand White,Italy White,Italian White,Italian Red,French Red South,Cocktails/Liqueurs,Bitter,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Everyday Cider,Australian White,Australian Red,American White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Speciality Beer,Sparkling,Premium Lager,Fruit Cider,Everyday Cider,Australian White,American Red,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,White Boxes,Italian White,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Other Red,Fruit Cider,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Red Wine Bxes & 25Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,White Rum,Over-Ice Cider,Italy White,Italian White,Gin,Brnd Alchol Carbntes,Bitter,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,South America White,South America,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Stout,Std Canned Ale,Standard Lager,South America White,South America,South African White,South Africa White,South Africa Red,Premium Lager,Premium Canned Ale,Lo/No Alcho Red Cgb,Italian White,Italian Red,Iberia,French Red 2,Cocktails/Liqueurs,Bottled Ale,Bitter,Australian White,Australian Red,American Rose,American Red,,,,,,,,,,,,,,,,,,,,,,,
36,World Beer,Premium Lager,Bottled Ale,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sherry Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Speciality Beer,Premium Lager,Premium Canned Ale,New Zealand White,French Red 2,Bottled Ale,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Rum,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,White Boxes,Whisky,Standard Lager,Speciality Beer,Sparkling,Sherry Spanish,Red Wine Bxes & 25Cl,Premium Lager,Port,Made Wine British,Gin,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Other Red,Iberia White,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Small Sizes White,Port,French White South,French White 2,French White,French Red South,French Red 2,French Red,Champagne,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Spirits Mixers,Sparkling,South America White,South Africa Red,Rum,Premium Lager,Other Red,Italy White,Italian Red,Iberia,French Red 2,French Red,Australian White,Australian Rose,Australian Red,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Whisky,Cocktails/Liqueurs,Bitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Speciality Beer,Sherry Spanish,Port,Iberia White,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,No/Low Alc Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sparkling,Premium Lager,Cocktails/Liqueurs,Brandy/Cognac,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,World Beer,Sparkling,South America,South African White,South Africa White,South Africa Red,Small Sizes White,Red Wine Bxes & 25Cl,Premium Lager,Premium Cider,Over-Ice Cider,Italian White,Iberia White,French Red 2,Cooking Wine,Cocktails/Liqueurs,Brnd Alchol Carbntes,Bottled Ale,Basics,Australian Red,American Red,,,,,,,,,,,,,,,,,,,,,,,,
50,Vermouths/Aperitifs,Stout,Sparkling,Over-Ice Cider,Italy White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Stout,Std Canned Ale,Standard Lager,Speciality Beer,Premium Lager,Port,Over-Ice Cider,Everyday Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Standard Lager,Spirits Mixers,Speciality Beer,Sparkling,South America,South African White,Small Sizes White,Made Wine British,Iberia White,Cocktails/Liqueurs,American White,American Rose,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,World Beer,Whisky,Spirits Mixers,Speciality Beer,Sparkling,Small Sizes White,Small Sizes Red,Sherry Spanish,Premium Cider,Over-Ice Cider,New Zealand White,Italy White,Cocktails/Liqueurs,Brandy/Cognac,Bottled Ale,Australian Red,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Premium Lager,New Zealand White,New Zealand Red,Nablab,Italy White,Iberia White,French White 2,Brnd Alchol Carbntes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sparkling,Italy White,French White 2,French Red 2,French Red,Fine Wines,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Premium Lager,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,South America White,South America,South African White,South Africa Red,Premium Lager,Premium Cider,Italian Red,Everyday Cider,Australian Red,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Spirits Mixers,Sparkling,Small Sizes White,Premium Lager,New Zealand White,Iberia White,German,French White South,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,World Beer,White Rum,Whisky,Vodka,Sparkling,South America White,South America,South Africa White,Premium Lager,Italy White,Italian White,Iberia White,Iberia,Gin,French White 2,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Over-Ice Cider,Fruit Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Standard Lager,Sparkling,Sherry Spanish,Premium Canned Ale,Port,Italy White,Italian Red,Cocktails/Liqueurs,Bitter,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,World Beer,South America,Premium Lager,Premium Canned Ale,Own Label,Italy White,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Stout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Port,New Zealand White,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Whisky,Premium Lager,Gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,World Beer,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Premium Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sparkling,Small Sizes Red,Premium Lager,Italy White,Italian Red,French Red 2,Everyday Cider,Bottled Ale,Bitter,Australian Red,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Standard Lager,South African White,Italian White,French White South,French White,Everyday Cider,Brnd Alchol Carbntes,Australia White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,World Beer,Standard Lager,Speciality Beer,South America White,Premium Lager,New Zealand White,Nablab,Italy White,Bottled Ale,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Premium Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Standard Lager,Italian White,American White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Stout,Standard Lager,Other Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,White Boxes,Spirits & Fortified,Sparkling,Italy White,Italian White,Iberia White,Australian Red,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,World Beer,Italy White,Italian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Iberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Standard Lager,Sherry Cyprus,Premium Lager,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,World Beer,Speciality Beer,Rum,Premium Lager,Other Red,Cocktails/Liqueurs,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Whisky,Standard Lager,Other Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Sparkling,South America White,Rum,Premium Lager,Premium Cider,New Zealand White,Madeira & Marsala,Italy White,French White Loire,French White 2,French Red 2,Cocktails/Liqueurs,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,South America White,South African White,Other Red,Italian Red,Iberia White,French White South,French Red 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,French Red South,French Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Sparkling,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Speciality Beer,Premium Cider,Iberia White,Fruit Cider,Bottled Ale,Australian Red,American White,American Red,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Speciality Beer,Sparkling,South Africa White,South Africa Red,Italy White,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,World Beer,Italy White,Champagne,Bottled Ale,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Standard Lager,Premium Lager,Over-Ice Cider,New Zealand White,Italy White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,South Africa Red,Sherry Spanish,Other Red,Iberia,Gin,Cocktails/Liqueurs,Brandy/Cognac,Bottled Ale,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Red Wine Bxes & 25Cl,French Red South,Cocktails/Liqueurs,Australian Red,American Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Whisky,Standard Lager,Sherry Spanish,Premium Lager,Fine Wines,Cocktails/Liqueurs,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Over-Ice Cider,Other Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Standard Lager,South Africa White,Premium Lager,Bitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Italian White,Bitter,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,White Boxes,Vodka,Over-Ice Cider,Italy White,Iberia,Cocktails/Liqueurs,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Stout,Sparkling,South Africa Red,Port,New Zealand White,Italy White,Italian Red,French White 2,Brnd Alchol Carbntes,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,South African White,South Africa White,South Africa Red,Premium Lager,Own Label,New Zealand White,Italy White,Italian White,Italian Red,French White 2,Bottled Ale,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,South Africa Red,Premium Lager,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Sparkling,Over-Ice Cider,Italy White,French White 2,French Red 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Italian White,Gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,White Rum,Vodka,Rum,Premium Cider,New Zealand White,Gin,French White Loire,Cocktails/Liqueurs,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Stout,Sparkling,Rum,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Stout,Standard Lager,Everyday Cider,Bitter,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Vodka,Premium Cider,Premium Canned Ale,Over-Ice Cider,Fruit Cider,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Sparkling,Brnd Alchol Carbntes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Sparkling,Small Sizes Red,Over-Ice Cider,Italian White,Iberia White,Iberia,French White South,Brnd Alchol Carbntes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,South America,Rum,Premium Lager,Premium Canned Ale,Italy White,Italian White,Italian Red,Iberia,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Premium Lager,Premium Cider,Over-Ice Cider,Fruit Cider,Brnd Alchol Carbntes,Bitter,Basics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Vodka,Standard Lager,South America,South Africa Red,Sherry Spanish,Rum,Red Wine Bxes & 25Cl,Premium Lager,Port,Italy White,Italian Red,Iberia,French Red South,French Red 2,Fine Wines,Cocktails/Liqueurs,Bitter,Australian White,Australian Red,American Red,America White,,,,,,,,,,,,,,,,,,,,,,,,
112,Speciality Beer,Sparkling,Over-Ice Cider,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,South Africa Red,Italian Red,Iberia,French Red South,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Standard Lager,Spirits Mixers,French Red 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Standard Lager,Sparkling,South Africa White,South Africa Red,Over-Ice Cider,Italy White,Italian Red,Iberia,French White,Bottled Ale,Australian White,Australian Red,Australia White,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Stout,Speciality Beer,Sparkling,Red Wine Bxes & 25Cl,Port,Gin,Everyday Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Vodka,Over-Ice Cider,Italy White,French White 2,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,White Uk,Sparkling,South America White,South America,South African White,Italy White,Italian White,Italian Red,French White 2,French White,French Red South,Champagne,Australian White,Australian Rose,Australian Red,American White,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Vermouths/Aperitifs,New Zealand White,French White 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Sherry Spanish,German,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Speciality Beer,Small Sizes Red,Champagne,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Sparkling,Premium Lager,Italian Red,Iberia,French Red 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Premium Lager,French White 2,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Speciality Beer,Sparkling,Premium Lager,Other Red,New Zealand White,Low Alcohol A.C,Gin,Fruit Cider,French White South,Cocktails/Liqueurs,Bottled Ale,Australian Rose,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,South America White,South Africa White,Premium Lager,Other Red,New Zealand White,Australian Rose,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Whisky,Stout,Premium Lager,Port,French Red 2,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Standard Lager,South Africa Red,Small Sizes White,Small Sizes Red,Sherry Spanish,Italy White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Sparkling,Champagne,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,World Beer,Whisky,Vodka,Speciality Beer,Sherry Spanish,Italy White,Italian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Speciality Beer,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Italy White,Italian Red,Cocktails/Liqueurs,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Standard Lager,Sparkling,South Africa Red,New Zealand White,Italy White,Australian Red,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Speciality Beer,South African White,South Africa Red,No/Low Alc Cider,Nablab,Iberia,Champagne,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Premium Lager,Gin,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Sparkling,Premium Lager,Italian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,World Beer,Sparkling,South America,Premium Canned Ale,New Zealand White,Italian Red,French White South,French White 2,French White,Bottled Ale,Bitter,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,World Beer,South America,South Africa Red,Other Red,Italy White,Italian White,Italian Red,Fruit Cider,French Red 2,Cocktails/Liqueurs,Bottled Ale,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,World Beer,Premium Lager,Nablab,Gin,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Vermouths/Aperitifs,Sparkling,South America,South Africa White,South Africa Red,Premium Lager,New Zealand Red,Italy White,Iberia,French White 2,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,South America White,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Stout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,World Beer,Italian Red,Everyday Cider,Cocktails/Liqueurs,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Whisky,Vodka,Standard Lager,Sparkling,Other Red,Italy White,Italian White,Gin,Everyday Cider,Cocktails/Liqueurs,Australian White,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,South Africa Red,Small Sizes Red,Over-Ice Cider,Italian Red,French Red,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,World Beer,Rum,Nablab,Cocktails/Liqueurs,Bottled Ale,Australian Red,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,World Beer,White Boxes,Whisky,Vodka,Stout,Std Canned Ale,Standard Lager,Sparkling,South America,South Africa White,Sherry Spanish,Red Wine Bxes & 25Cl,Premium Lager,New Zealand White,New Zealand Red,Malt Whisky,Italy White,Italian White,Italian Red,Iberia White,Iberia,French White South,French White 2,French Red South,French Red 2,French Red,Everyday Cider,Champagne,Brandy/Cognac,Bottled Ale,Bitter,Beer/Lager Gifts,Australian White,Australian Red,Australia White,,,,,,,,,,
150,Stout,Premium Lager,Italy White,Gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Stout,Standard Lager,Sparkling,Sherry Spanish,Port,New Zealand White,Malt Whisky,Cocktails/Liqueurs,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,World Beer,Vermouths/Aperitifs,Premium Canned Ale,Other Red,New Zealand White,Italy White,Iberia White,Iberia,French White 2,French Red 2,Everyday Cider,Brandy/Cognac,Bottled Ale,Australian Red,Australia White,American White,American Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,White Boxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Premium Lager,New Zealand White,Iberia,French White South,French White 2,Bitter,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,World Beer,White Rum,Vodka,Stout,Sparkling,South Africa Red,Premium Lager,Premium Cider,Premium Canned Ale,Port,Over-Ice Cider,New Zealand White,Italy White,Italian White,Gin,French White Loire,French White 2,French Red South,French Red 2,Cocktails/Liqueurs,Champagne,Brandy/Cognac,Australian Red,,,,,,,,,,,,,,,,,,,,,,
156,Standard Lager,Premium Lager,Port,Over-Ice Cider,Nablab,Italy White,Italian Red,Everyday Cider,British Fortified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,White Uk,White Boxes,Whisky,Standard Lager,South African White,Own Label,Italy White,Iberia White,Gin,French White South,French White 2,Basics,Australian White,Australian Red,Australia White,American White,American Rose,American Red,America White,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Whisky,Small Sizes Wht Othr,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,World Beer,Italian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,World Beer,Spirits Mixers,Sparkling,South America White,South America,South Africa Red,Rum,Premium Lager,New Zealand White,New Zealand Red,Italy White,Italian Red,Iberia,French White,Cocktails/Liqueurs,Bottled Ale,Australian White,Australian Red,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,
161,South America White,South African White,Low Alcohol A.C,Champagne,Australian White,Australian Red,Australia White,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,World Beer,South America,French White 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Whisky,South America White,South America,South African White,South Africa White,South Africa Red,Other Red,New Zealand White,Italy White,Italian Red,Iberia,French White South,French White 2,French Red South,French Red 2,Cocktails/Liqueurs,Australian Red,Australia White,American White,American Red,America White,,,,,,,,,,,,,,,,,,,,,,,,
164,Fruit Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,World Beer,White Boxes,Sparkling,South America White,South African White,Other Red,New Zealand White,Italy White,Italian White,Iberia,French White South,French White 2,Champagne,Australian White,Australia White,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Spirits Mixers,Premium Lager,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
